indikator_id;kode;nama_indikator;dokumen_nama;pertanyaan_nama;dokumen_tipe;keterangan
403;24;"Tata pamong dan tata kelola :
tersedia dokumem struktur organisasi dan tupoksinya serta ketetapan fo";"Renstra UPPS/Prodi";"Apakah tersedia rencana strategis UPPS/prodi yang berkelanjutan?";Renstra;
403;24;"Tata pamong dan tata kelola :
tersedia dokumem struktur organisasi dan tupoksinya serta ketetapan fo";"Profil UPPS";"Apakah tersedia profil UPPS yang mencakup identitas, SDM, mahasiswa, dan fasilitas?";Dokumen;"Mencakup nama, SK pendirian, sejarah, SDM, mahasiswa, sarpras"
404;25;"Perguruan Tinggi dan atau UPPS memiliki dan menjalankan sistem tata pamong sesuai konteks institusi ";"Dokumen Sistem Tata Pamong UPPS";"Apakah UPPS memiliki dokumen sistem tata pamong yang lengkap (akuntabel, transparan)?";Pedoman;
404;25;"Perguruan Tinggi dan atau UPPS memiliki dan menjalankan sistem tata pamong sesuai konteks institusi ";"Laporan Pertanggungjawaban Tahunan";"Apakah tersedia laporan pertanggungjawaban tahunan yang akuntabel?";Laporan;
404;25;"Perguruan Tinggi dan atau UPPS memiliki dan menjalankan sistem tata pamong sesuai konteks institusi ";"Bukti Transparansi Tata Pamong";"Apakah informasi tata pamong dapat diakses publik (website/brosur)?";Website/Dokumen;
404;25;"Perguruan Tinggi dan atau UPPS memiliki dan menjalankan sistem tata pamong sesuai konteks institusi ";"Dokumen Tata Kelola (9 Aspek)";"Apakah tata kelola mencakup 9 aspek: perencanaan s.d. pengawasan?";Dokumen;"Perencanaan, pengorganisasian, penempatan, pelaksanaan, pengendalian, dll"
405;26;"Perguruan Tinggi dan/atau UPPS memiliki sistem pengelolaan data dan informasi berbasis TIK.";"Deskripsi Sistem Informasi Manajemen (SIM)";"Apakah PT/UPPS memiliki SIM berbasis TIK untuk pengelolaan data?";Dokumen;
405;26;"Perguruan Tinggi dan/atau UPPS memiliki sistem pengelolaan data dan informasi berbasis TIK.";"Bukti Penggunaan SIM (Akademik/Keuangan)";"Apakah SIM digunakan aktif untuk pengelolaan data prodi?";Screenshot;
406;27;"UPPS dan prodi memiliki bukti efektifitas dari kepemimpinan operasional, organisasi dan publik";"Dokumen Pakta Integritas Pimpinan";"Apakah pimpinan UPPS memiliki pakta integritas/komitmen tertulis?";Dokumen;"Pakta integritas yang menunjukkan komitmen pimpinan terhadap GUG"
406;27;"UPPS dan prodi memiliki bukti efektifitas dari kepemimpinan operasional, organisasi dan publik";"Bukti Kepemimpinan Operasional";"Apakah tersedia bukti kepemimpinan operasional yang efektif (program kerja, evaluasi)?";Laporan;
406;27;"UPPS dan prodi memiliki bukti efektifitas dari kepemimpinan operasional, organisasi dan publik";"Bukti Kepemimpinan Organisasi";"Apakah pimpinan UPPS menjalankan fungsi kepemimpinan organisasi secara efektif?";Dokumen;
406;27;"UPPS dan prodi memiliki bukti efektifitas dari kepemimpinan operasional, organisasi dan publik";"Bukti Kepemimpinan Publik";"Apakah pimpinan UPPS aktif di organisasi/asosiasi/forum publik?";Dokumen;
407;28a;"Praktik baik perwujudan Good University Governance (GUG) termasuk penanggulangan dan penindakan terh";"Dokumen Kebijakan GUG (termasuk Pencegahan Kekerasan Seksual)";"Apakah tersedia kebijakan GUG yang mencakup pencegahan kekerasan seksual dan intoleransi?";Kebijakan;
407;28a;"Praktik baik perwujudan Good University Governance (GUG) termasuk penanggulangan dan penindakan terh";"Laporan Pelaksanaan GUG";"Apakah terdapat laporan implementasi GUG secara berkala?";Laporan;
407;28a;"Praktik baik perwujudan Good University Governance (GUG) termasuk penanggulangan dan penindakan terh";"SK/Kebijakan Anti-Kekerasan Seksual dan Perundungan";"Apakah terdapat kebijakan anti-kekerasan seksual yang ditetapkan dengan SK?";SK/Kebijakan;
408;28b;"Ketersediaan unit penegakan kode etik serta bukti efektifitas pelaksanaanya di internal Perguruan Ti";"Dokumen Kode Etik UPPS";"Apakah tersedia dokumen kode etik civitas akademika yang berlaku di UPPS?";Dokumen;
408;28b;"Ketersediaan unit penegakan kode etik serta bukti efektifitas pelaksanaanya di internal Perguruan Ti";"SK Unit Penegakan Kode Etik";"Apakah terdapat unit/lembaga penegakan kode etik yang ditetapkan dengan SK?";SK;
408;28b;"Ketersediaan unit penegakan kode etik serta bukti efektifitas pelaksanaanya di internal Perguruan Ti";"Laporan Pelaksanaan Penegakan Etik";"Apakah terdapat laporan penanganan kasus pelanggaran etik?";Laporan;
409;28c;"Ketersediaan dokumen formal prosedur serta  perangkat pendukung keamanan, kenyamanan, dan kesejahter";"Kebijakan Keamanan dan Kesejahteraan Sivitas";"Apakah tersedia kebijakan yang mendukung keamanan dan kesejahteraan sivitas?";Kebijakan;
409;28c;"Ketersediaan dokumen formal prosedur serta  perangkat pendukung keamanan, kenyamanan, dan kesejahter";"Bukti Fasilitas Keamanan dan Kesejahteraan";"Apakah tersedia fasilitas nyata yang mendukung keamanan/kenyamanan sivitas?";Dokumen/Foto;
410;29;"Keberfungsian sistem pengelolaan fungsional dan operasional perguruan tinggi yang mencakup 5 aspek s";"Renstra dan Rencana Operasional (Renop)";"Apakah tersedia renstra dan renop yang mencakup 5 fungsi manajemen?";Renstra/Renop;
410;29;"Keberfungsian sistem pengelolaan fungsional dan operasional perguruan tinggi yang mencakup 5 aspek s";"Laporan Pengelolaan Fungsional Tahunan";"Apakah tersedia laporan pengelolaan yang mencakup planning s.d. controlling?";Laporan;
411;30;"di lingkup UPPS telah ditunjukkan: 
1. Ketersediaan dokumen formal kebijakan suasana akademik yang m";"Kebijakan Suasana Akademik";"Apakah tersedia kebijakan yang mencakup kebebasan akademik dan otonomi keilmuan?";Kebijakan;
411;30;"di lingkup UPPS telah ditunjukkan: 
1. Ketersediaan dokumen formal kebijakan suasana akademik yang m";"Bukti Kegiatan Akademik (Seminar/Diskusi/Kuliah Umum)";"Apakah terdapat bukti kegiatan ilmiah yang mencerminkan suasana akademik kondusif?";Laporan/Foto;"Termasuk undangan dosen tamu/pakar/praktisi"
411;30;"di lingkup UPPS telah ditunjukkan: 
1. Ketersediaan dokumen formal kebijakan suasana akademik yang m";"SOP Pengelolaan Suasana Akademik";"Apakah tersedia SOP untuk menjaga dan meningkatkan suasana akademik?";SOP;
412;31;"Perguruan Tinggi dan/upps memiliki kebijakan dan pedoman penerimaan mahasiswa baru";"Kebijakan dan Pedoman PMB";"Apakah tersedia kebijakan dan pedoman penerimaan mahasiswa baru yang formal?";Pedoman;"Mencakup SNBP, SNBT, PMB Mandiri, dan jalur lainnya"
412;31;"Perguruan Tinggi dan/upps memiliki kebijakan dan pedoman penerimaan mahasiswa baru";"Data Mahasiswa Baru (3 Tahun Terakhir)";"Apakah tersedia data jumlah dan profil mahasiswa baru 3 tahun terakhir?";"Data LKPS";"Sesuai format Tabel 3.1.2.2 LKPS"
412;31;"Perguruan Tinggi dan/upps memiliki kebijakan dan pedoman penerimaan mahasiswa baru";"Data Animo/Peminat (3 Tahun Terakhir)";"Apakah tren animo calon mahasiswa meningkat dalam 3 tahun terakhir?";"Data LKPS";"Sesuai format Tabel 3.1.2.2-3 LKPS"
413;32;"Perguruan Tinggi  dan/atau memiliki sistem pengelolaan mahasiswa, layanan mahasiswa dan pemenuhan te";"Dokumen Sistem Pengelolaan Mahasiswa";"Apakah tersedia sistem pengelolaan mahasiswa yang komprehensif?";Dokumen;
413;32;"Perguruan Tinggi  dan/atau memiliki sistem pengelolaan mahasiswa, layanan mahasiswa dan pemenuhan te";"Laporan Layanan Kemahasiswaan";"Apakah terdapat laporan kegiatan layanan kemahasiswaan (bimbingan, karir, dll)?";Laporan;"Mencakup bidang penalaran, minat bakat, kesejahteraan"
413;32;"Perguruan Tinggi  dan/atau memiliki sistem pengelolaan mahasiswa, layanan mahasiswa dan pemenuhan te";"Laporan Survei Kepuasan Mahasiswa";"Apakah dilaksanakan pengukuran kepuasan mahasiswa terhadap layanan prodi?";"Laporan Survei";"Mencakup kepuasan terhadap dosen, admin, dan sarpras"
413;32;"Perguruan Tinggi  dan/atau memiliki sistem pengelolaan mahasiswa, layanan mahasiswa dan pemenuhan te";"Laporan Tindak Lanjut Kepuasan Mahasiswa";"Apakah tindak lanjut hasil survei kepuasan mahasiswa terdokumentasi?";Laporan;
414;33;"tersediannya dokumen formal yang mengatur mengenai layanan yang  bertintegritas (bersih dan profesio";"SOP Layanan Berintegritas";"Apakah tersedia SOP yang mengatur layanan yang bersih dan profesional?";SOP;
414;33;"tersediannya dokumen formal yang mengatur mengenai layanan yang  bertintegritas (bersih dan profesio";"Bukti Implementasi Layanan Berintegritas";"Apakah terdapat bukti pelaksanaan layanan berintegritas (absensi, rekam layanan)?";Laporan;
415;34;"Tingkat kepuasan pemangku kepentingan terhadap  tata pamong pengelolaan organisasi di level UPPS";"Laporan Survei Kepuasan Pemangku Kepentingan";"Apakah dilaksanakan survei kepuasan pemangku kepentingan terhadap tata pamong?";"Laporan Survei";
415;34;"Tingkat kepuasan pemangku kepentingan terhadap  tata pamong pengelolaan organisasi di level UPPS";"Instrumen Survei Kepuasan";"Apakah instrumen survei kepuasan telah divalidasi dan digunakan?";Instrumen;
415;34;"Tingkat kepuasan pemangku kepentingan terhadap  tata pamong pengelolaan organisasi di level UPPS";"Laporan Tindak Lanjut Survei Kepuasan";"Apakah terdapat laporan tindak lanjut dari hasil survei kepuasan?";Laporan;
416;35;"terlaksanakannya layanan yang  bertintegritas (bersih dan profesional) serta bukti sahih yang menduk";"Bukti Zona Integritas (ZI/WBK/WBBM)";"Apakah UPPS memiliki pengakuan zona integritas dari KemenPAN-RB?";Sertifikat;
416;35;"terlaksanakannya layanan yang  bertintegritas (bersih dan profesional) serta bukti sahih yang menduk";"Laporan Implementasi Zona Berintegritas";"Apakah terdapat laporan konsisten implementasi zona berintegritas?";Laporan;
417;36;"UPPS memiliki fokus misi dan visi yang memayungi dengan visi keilmuan program studi yang diakreditas";"Dokumen Visi, Misi, dan Tujuan Prodi";"Apakah tersedia dokumen visi keilmuan dan tujuan prodi yang ditetapkan secara formal?";Dokumen;
417;36;"UPPS memiliki fokus misi dan visi yang memayungi dengan visi keilmuan program studi yang diakreditas";"SK Penetapan Visi Misi Prodi";"Apakah visi dan misi prodi ditetapkan dengan SK yang berlaku?";SK;
417;36;"UPPS memiliki fokus misi dan visi yang memayungi dengan visi keilmuan program studi yang diakreditas";"Dokumen Mekanisme Penyusunan Visi Keilmuan";"Apakah tersedia dokumen yang menjelaskan proses penyusunan visi keilmuan PS?";Dokumen;"Termasuk keterlibatan pemangku kepentingan"
417;36;"UPPS memiliki fokus misi dan visi yang memayungi dengan visi keilmuan program studi yang diakreditas";"Bukti Sosialisasi Visi Misi";"Apakah visi misi disosialisasikan kepada sivitas akademika dan stakeholder?";Laporan/Foto;
417;36;"UPPS memiliki fokus misi dan visi yang memayungi dengan visi keilmuan program studi yang diakreditas";"Hasil Survei Pemahaman Visi Misi";"Apakah dilaksanakan survei pemahaman visi misi kepada sivitas akademika?";"Formulir Terisi";
418;37;"UPPS dan program studi secara konsisten melaksanakan dan mengembangkan berbagai program pendidikan d";"Laporan Pelaksanaan Pembelajaran Tahunan";"Apakah terdapat laporan pelaksanaan pembelajaran sesuai rencana?";Laporan;
418;37;"UPPS dan program studi secara konsisten melaksanakan dan mengembangkan berbagai program pendidikan d";"Jadwal dan Presensi Perkuliahan";"Apakah tersedia bukti pelaksanaan perkuliahan (jadwal, presensi, BAPK)?";Jadwal/Presensi;
418;37;"UPPS dan program studi secara konsisten melaksanakan dan mengembangkan berbagai program pendidikan d";"Laporan Monitoring Perkuliahan";"Apakah dilaksanakan monitoring dan evaluasi pelaksanaan perkuliahan?";Laporan;"Dokumentasi/foto aktivitas perkuliahan; daftar hadir dosen"
418;37;"UPPS dan program studi secara konsisten melaksanakan dan mengembangkan berbagai program pendidikan d";"Laporan Monev dan RTL Pembelajaran";"Apakah tersedia laporan monev dan rencana tindak lanjut pembelajaran?";Laporan;
419;38;"UPPS mengukur dan mengevaluasi ketercapaian tujuan program studi";"Laporan Evaluasi Ketercapaian Tujuan Prodi";"Apakah tersedia laporan evaluasi ketercapaian tujuan prodi secara berkala?";Laporan;
419;38;"UPPS mengukur dan mengevaluasi ketercapaian tujuan program studi";"Data Ketercapaian IKU/IKT Prodi";"Apakah tersedia data ketercapaian indikator kinerja utama dan tambahan?";Data;
419;38;"UPPS mengukur dan mengevaluasi ketercapaian tujuan program studi";"Laporan Analisis SWOT/LED Prodi";"Apakah tersedia laporan analisis SWOT atau analisis strategis lainnya?";LED;"Dokumen LED mencakup evaluasi capaian kinerja dan identifikasi permasalahan"
419;38;"UPPS mengukur dan mengevaluasi ketercapaian tujuan program studi";"Laporan Program Pengembangan Prodi";"Apakah tersedia dokumen penetapan program pengembangan prodi?";Laporan;"Mencakup strategi pengembangan yang tepat, jelas, dan realistik"
419;38;"UPPS mengukur dan mengevaluasi ketercapaian tujuan program studi";"Laporan Keberlanjutan Program Pengembangan";"Apakah UPPS memiliki kebijakan dan program untuk keberlanjutan pengembangan?";Laporan;
420;39;"UPPS mendapatkan pengakuan dan apresiasi dari masyarakat/DUDIK atas keunggulan program studi yang  d";"Data Pengakuan dari Masyarakat/DUDIK (LKPS Tabel 4.1)";"Apakah terdapat data pengakuan dari masyarakat/DUDIK atas keunggulan prodi?";"Data LKPS";"Sesuai format Tabel 4.1 LKPS IAPTS 5.1"
420;39;"UPPS mendapatkan pengakuan dan apresiasi dari masyarakat/DUDIK atas keunggulan program studi yang  d";"MoU/PKS Kerjasama dengan DUDIK";"Apakah tersedia bukti kerjasama aktif dengan dunia usaha/industri/komunitas?";MoU/PKS;"MoU, MoA, PKS/IA; Laporan kegiatan kerjasama"
420;39;"UPPS mendapatkan pengakuan dan apresiasi dari masyarakat/DUDIK atas keunggulan program studi yang  d";"Laporan Monev Kerjasama";"Apakah kerjasama dievaluasi dan ditindaklanjuti secara berkala?";Laporan;
420;39;"UPPS mendapatkan pengakuan dan apresiasi dari masyarakat/DUDIK atas keunggulan program studi yang  d";"Sertifikat/Penghargaan Keunggulan Prodi";"Apakah prodi mendapatkan penghargaan atas keunggulannya dalam 5 tahun terakhir?";Penghargaan;
